strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/Denmark/DCGC-405815/2022	betacoronavirus	EPI_ISL_10807016	?	2022-03-02	Europe	Denmark	Midtjylland		Europe	Denmark	Midtjylland	genome	29785	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-03-08	?
hCoV-19/Denmark/DCGC-434762/2022	betacoronavirus	EPI_ISL_11275475	?	2022-03-14	Europe	Denmark	Nordjylland		Europe	Denmark	Nordjylland	genome	29749	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-03-22	?
hCoV-19/SouthAfrica/SU-NHLS_4263/2022	betacoronavirus	EPI_ISL_11331250	?	2022-03-07	Africa	South Africa	Western Cape	Cape Town Metro	Africa	South Africa	Western Cape	genome	29637	Human	47	Female	?	BA.4	GRA	PathCare, Cape Town	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Jean Maritz, Nadine Cronje, Petra Raimond, Tongai Maponga, Shannon Wilson, Kamela Mahlakwane, Tania Stander, Gert van Zyl, Wolfgang Preiser	https://www.gisaid.org/	?	?	2022-03-23	?
hCoV-19/SouthAfrica/NICD-N35214/2022	betacoronavirus	EPI_ISL_11542270	?	2022-01-10	Africa	South Africa	Limpopo		Africa	South Africa	Limpopo	genome	29708	Human	9	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-03-30	?
hCoV-19/SouthAfrica/NICD-N35236/2022	betacoronavirus	EPI_ISL_11542287	?	2022-01-22	Africa	South Africa	Limpopo		Africa	South Africa	Limpopo	genome	29708	Human	78	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-03-30	?
hCoV-19/SouthAfrica/NICD-N37211/2022	betacoronavirus	EPI_ISL_11542474	?	2022-03-05	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	70	Male	?	BA.4	GRA	VERMAAK	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-03-30	?
hCoV-19/SouthAfrica/NICD-N37338/2022	betacoronavirus	EPI_ISL_11542550	?	2022-03-01	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	17	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-03-30	?
hCoV-19/SouthAfrica/NICD-N37360/2022	betacoronavirus	EPI_ISL_11542567	?	2022-03-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	36	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-03-30	?
hCoV-19/SouthAfrica/NICD-N37413/2022	betacoronavirus	EPI_ISL_11542603	?	2022-03-02	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	35	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-03-30	?
hCoV-19/England/LSPA-3C01A75/2022	betacoronavirus	EPI_ISL_11550739	?	2022-03-22	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser, Suki Lee, Rob Howes, The Rosalind Franklin Laboratory and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-03-30	?
